"","x"
"1",303.996673583984
"2",302.869995117188
"3",296.666656494141
"4",289.913330078125
"5",296.453338623047
"6",297.0966796875
"7",296.070007324219
"8",288.089996337891
"9",284.820007324219
"10",277.700012207031
"11",275.609985351562
"12",277.160003662109
"13",270.209991455078
"14",274.420013427734
"15",283.700012207031
"16",289.260009765625
"17",299.679992675781
"18",304.420013427734
"19",292.130004882812
"20",302.609985351562
"21",303.75
"22",303.350006103516
"23",309.070007324219
"24",308.730010986328
"25",300.799987792969
"26",288.589996337891
"27",275.329986572266
"28",276.010009765625
"29",282.940002441406
"30",287.809997558594
"31",268.209991455078
"32",265.25
"33",242.399993896484
"34",249.440002441406
"35",240.809997558594
"36",238.130004882812
"37",223.070007324219
"38",222.960006713867
"39",216.5
"40",217.240005493164
"41",221.720001220703
"42",204.990005493164
"43",219.350006103516
"44",220.190002441406
"45",222.039993286133
"46",207.279998779297
"47",214.440002441406
"48",211.25
"49",222.419998168945
"50",224.639999389648
"51",225.089996337891
"52",228.520004272461
"53",227.539993286133
"54",227.820007324219
"55",214.979995727539
"56",215.309997558594
"57",207.470001220703
"58",197.080001831055
"59",191.300003051758
"60",177.589996337891
"61",190.720001220703
"62",195.970001220703
"63",190.949996948242
"64",194.419998168945
"65",186.919998168945
"66",183.169998168945
"67",180.190002441406
"68",167.869995117188
"69",169.910003662109
"70",183.199996948242
"71",182.860000610352
"72",182.919998168945
"73",180.830001831055
"74",194.699996948242
"75",194.699996948242
"76",194.860000610352
"77",182.449996948242
"78",179.820007324219
"79",174.039993286133
"80",173.440002441406
"81",179.050003051758
"82",167.820007324219
"83",160.949996948242
"84",156.800003051758
"85",157.669998168945
"86",150.229995727539
"87",149.869995117188
"88",137.800003051758
"89",137.570007324219
"90",125.349998474121
"91",123.150001525879
"92",109.099998474121
"93",112.709999084473
"94",121.819999694824
"95",123.180000305176
"96",108.099998474121
"97",113.639999389648
"98",110.339996337891
"99",113.059997558594
"100",119.769996643066
"101",118.849998474121
"102",123.220001220703
"103",123.559997558594
"104",122.400001525879
"105",131.490005493164
"106",128.779998779297
"107",127.169998168945
"108",133.419998168945
"109",143.75
"110",143.889999389648
"111",144.429992675781
"112",160.270004272461
"113",177.899993896484
"114",166.660003662109
"115",173.220001220703
"116",181.410003662109
"117",188.270004272461
"118",189.979995727539
"119",194.759994506836
"120",196.809997558594
"121",201.289993286133
"122",207.320007324219
"123",196.889999389648
"124",194.639999389648
"125",209.25
"126",214.240005493164
"127",202.039993286133
"128",208.309997558594
"129",197.369995117188
"130",200.860000610352
"131",202.070007324219
"132",196.880004882812
"133",207.630004882812
"134",205.710006713867
"135",202.770004272461
"136",190.899993896484
"137",197.789993286133
"138",193.809997558594
"139",187.710006713867
"140",182
